"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"56",4,99,5,11,99,NA,116,48,1647,2180
"57",4,99,3,11,440,NA,164,48,1988,1196
"58",5,8,5,3,306,101,83,14,2370,1046
"59",3,99,5,11,245,NA,380,48,1277,2444
"60",4,6,10,11,154,88,59,48,1702,4703
"61",5,99,6,4,48,NA,222,31,2112,1579
"62",4,99,3,11,66,NA,259,48,1614,1291
"63",5,8,5,7,210,101,353,81,2274,2417
"64",8,99,6,99,96,NA,37,NA,3708,2617
"65",99,8,7,99,NA,62,114,NA,3674,3210
"66",4,99,5,11,212,NA,195,48,1760,2259
"67",7,4,5,11,84,1,91,48,1549,2155
"68",6,4,3,11,154,56,251,48,1604,1283
"69",6,4,4,11,226,22,448,48,1570,1996
"70",4,9,4,11,406,121,114,48,1954,1662
"71",4,8,4,11,185,101,176,48,1733,1724
"72",4,8,4,7,172,101,353,81,1720,1901
"73",5,9,5,11,286,121,334,48,2350,2398
"74",5,99,5,11,58,NA,39,48,2122,2103
"75",6,8,10,7,146,101,59,81,2726,3177
"76",6,7,5,11,288,85,56,48,2868,2120
"77",5,9,3,11,332,121,273,48,2396,1305
"78",4,6,4,11,310,88,342,48,1858,1890
"79",4,8,3,11,263,101,316,48,1811,1348
"80",5,9,10,6,85,121,123,41,2149,2621
"81",10,7,6,11,59,85,91,48,3181,2671
"82",7,99,7,99,100,NA,108,NA,3196,3204
"83",3,99,5,11,274,NA,159,48,1306,2223
"84",4,99,4,11,281,NA,115,48,1829,1663
"85",9,5,4,11,62,67,200,48,2131,1748
"86",10,8,5,11,59,101,405,48,3713,2469
"87",3,4,4,11,457,63,95,48,1489,1643
"88",4,99,5,11,449,NA,242,48,1997,2306
"89",5,8,5,99,169,62,52,NA,2233,2116
"90",4,8,4,11,147,101,403,48,1695,1951
"91",6,99,3,11,23,NA,110,48,2603,1142
"92",8,4,3,11,86,50,452,48,1598,1484
"93",6,4,4,11,117,6,313,48,1554,1861
"94",6,99,6,11,226,NA,89,48,2806,2669
"95",5,99,5,11,96,NA,164,48,2160,2228
"96",5,99,10,4,400,NA,59,6,2464,1554
"97",4,99,5,11,342,NA,159,48,1890,2223
"98",5,8,3,99,200,62,270,NA,2264,1302
"99",4,5,3,11,61,23,214,48,1609,1246
"100",5,7,7,11,154,88,48,48,2218,3144
