ExperimentName,Subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,PathLength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli3,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,RTRecogniseTarget
NetworksDemasking,39,1,S3,135,5,-0.278,-0.594,-0.148,-0.128,D101,6.572,7.289,22.026145,-0.138,7.5,6.9305,-0.436,3,P O L Y E S T E R,{SHIFT}Polyester{SPACE},2130,101,H O T T E R,{SHIFT}Hotter{SPACE},1183,2,1,1,1667,2878
NetworksDemasking,39,1,S3,47,5,-0.291,-0.637,-0.613,-0.495,D102,9.266,5.587,22.458669,-0.554,4.5,7.4265,-0.464,15,A N G L E,{SHIFT}Angle{SPACE},1065,102,H U S K,{SHIFT}Husk{SPACE},992,3,1,1,1224,948
NetworksDemasking,39,1,S3,136,3,-0.502,-0.389,-0.648,-0.276,D103,9.274,11.571,15.234395,-0.462,7,10.4225,-0.4455,4,C H A R T,{SHIFT}Chart{SPACE},1153,103,I M P O R T A N T,{SHIFT}Important{SPACE},2356,3,1,1,1231,1835
NetworksDemasking,39,1,S3,105,6,0.211,-0.353,0.25,-0.62,D104,5.565,9.894,26.555474,-0.185,8.5,7.7295,-0.071,3,N A U S E O U S,{SHIFT}Nauseous{SPACE},6957,104,I N F L U E N C E,{SHIFT}Influence{SPACE},2568,3,1,1,1695,2240
NetworksDemasking,39,1,S3,216,2,-0.185,-0.493,-0.265,-0.63,D105,8.162,8.868,6.656912,-0.4475,7.5,8.515,-0.339,1,C R I T I C I Z E,{SHIFT}Criticize{SPACE},2554,105,I N S U L T,{SHIFT}Insult{SPACE},1380,1,1,1,2692,1185
NetworksDemasking,39,1,S3,197,3,-0.194,-0.666,-0.449,-0.653,D106,6.717,9.862,14.201596,-0.551,4.5,8.2895,-0.43,4,S C A R F,{SHIFT}Scarf{SPACE},1359,106,I R O N,{SHIFT}Iron{SPACE},1647,2,1,1,964,816
NetworksDemasking,39,1,S3,61,4,-0.375,-0.575,-0.55,-0.785,D107,9.888,10.357,17.780391,-0.6675,4,10.1225,-0.475,1,S H U T,{SHIFT}Shut{SPACE},973,107,J A C K,{SHIFT}Jack{SPACE},1017,2,1,1,879,843
NetworksDemasking,39,1,S3,130,5,-0.397,-0.629,-0.624,-0.738,D108,11.478,7.878,24.347248,-0.681,4,9.678,-0.513,4,S T O P,{SHIFT}Stop{SPACE},1018,108,J E E P,{SHIFT}Jeep{SPACE},975,2,1,1,909,1048
NetworksDemasking,39,1,S3,155,2,-0.449,-0.482,-0.503,-0.642,D109,8.161,10.177,7.917273,-0.5725,7,9.169,-0.4655,3,P R E A C H E R,{SHIFT}Preacher{SPACE},1882,109,J E W I S H,{SHIFT}Jewish{SPACE},1467,2,1,1,1059,536
NetworksDemasking,39,1,S3,219,5,-0.662,-0.501,-0.709,-0.448,D110,9.392,5.68,19.36725,-0.5785,5.5,7.536,-0.5815,3,E A R N,{SHIFT}Earn{SPACE},1131,110,J O B L E S S,{SHIFT}Jobless{SPACE},1718,2,1,1,911,1670
NetworksDemasking,39,1,S3,212,2,-0.471,-0.456,-0.482,-0.673,D111,9.747,8.613,9.041477,-0.5775,6,9.18,-0.4635,1,F O R E S T,{SHIFT}Forest{SPACE},1314,111,J U N G L E,{SHIFT}Jungle{SPACE},1519,1,1,1,523,930
NetworksDemasking,39,1,S3,104,4,-0.476,-0.15,-0.678,-0.16,D112,9.33,5.945,15.08964,-0.419,6,7.6375,-0.313,1,F L E S H,{SHIFT}Flesh{SPACE},1021,112,K L E E N E X,{SHIFT}Kleenex{SPACE},1563,2,1,1,1145,1692
NetworksDemasking,39,1,S3,242,Inf,-0.737,0.064,-0.585,-0.263,D113,7.278,6.992,Inf,-0.424,5.5,7.135,-0.3365,6,R U G,{SHIFT}Rug{SPACE},946,113,K N I T T I N G,{SHIFT}Knitting{SPACE},1784,2,1,1,867,2838
NetworksDemasking,39,1,S3,192,2,-0.494,-0.487,-0.634,-0.486,D114,9.674,7.625,8.462707,-0.56,4,8.6495,-0.4905,2,R E A R,{SHIFT}Rear{SPACE},1496,114,K N O B,{SHIFT}Knob{SPACE},959,2,1,1,1206,980
NetworksDemasking,39,1,S3,137,2,-0.731,-0.438,-0.646,-0.614,D115,8.571,11.808,6.47864,-0.63,5,10.1895,-0.5845,1,W A I S T,{SHIFT}Waist{SPACE},1422,115,L A R G E,{SHIFT}Large{SPACE},1340,2,1,1,2961,1293
NetworksDemasking,39,1,S3,183,5,-0.664,-0.742,-0.701,-0.503,D116,9.223,9.474,21.813402,-0.602,5.5,9.3485,-0.703,15,P A N T S,{SHIFT}Pants{SPACE},1167,116,L A U N C H,{SHIFT}Launch{SPACE},3048,2,1,1,1098,2106
NetworksDemasking,39,1,S3,131,2,-0.037,#,-0.313,#,D117,8.214,6.632,10.028794,-0.313,9,7.423,-0.037,1,S C H O L A R S H I P,{SHIFT}Scholarship{SPACE},2164,117,L E A R N E R,learner{SPACE},1866,2,1,1,1301,1692
NetworksDemasking,39,1,S3,64,4,-0.632,-0.505,-0.743,-0.377,D118,9.693,9.475,13.618063,-0.56,6.5,9.584,-0.5685,4,P O O L,{SHIFT}Pool{SPACE},1003,118,L I G H T N I N G,{SHIFT}Lightning{SPACE},2047,3,1,1,996,537
NetworksDemasking,39,1,S3,173,5,-0.531,-0.197,-0.637,-0.502,D119,6.811,7.88,21.269889,-0.5695,4.5,7.3455,-0.364,6,G L A R E,{SHIFT}Glare{SPACE},1566,119,L I L Y,{SHIFT}Lily{SPACE},1795,3,1,1,1178,919
NetworksDemasking,39,1,S3,107,2,-0.406,-0.902,-0.06,-0.737,D120,7.696,9.81,7.574315,-0.3985,5.5,8.753,-0.654,3,H A L L W A Y,{SHIFT}Hallway{SPACE},1451,120,L O C K,{SHIFT}Look{SPACE},7254,2,1,1,2076,535
NetworksDemasking,39,1,S3,69,4,-0.719,-0.558,-0.705,-0.784,D121,9.814,10.309,12.721206,-0.7445,5,10.0615,-0.6385,1,H I D D E N,{SHIFT}Hidden{SPACE},1191,121,L O S S,{SHIFT}Loss{SPACE},859,2,1,1,1222,1325
NetworksDemasking,39,1,S3,102,2,-0.593,-0.638,-0.524,-0.474,D122,7.629,9.51,7.759109,-0.499,4,8.5695,-0.6155,1,V E N T,{SHIFT}Vent{SPACE},873,122,L U N G,{SHIFT}Lung{SPACE},918,2,1,1,1206,938
