ExperimentName,Subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,PathLength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli2,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,TRecogniseTarget
NetworksDemasking,38,1,S2,224,6,-0.603,-0.288,-0.334,-0.094,C113,6.773,4.984,30.542088,-0.214,6,5.8785,-0.4455,6,D R E S S E R,DRESSER{SPACE},1608,113,I G L O O,IGLOO{SPACE},1860,3,1,1,1371,1673
NetworksDemasking,38,1,S2,160,4,0.133,-0.381,-0.439,-0.419,C114,11.221,9.294,21.807401,-0.429,7,10.2575,-0.124,6,S C R E E N,SCREEN{SPACE},1466,114,I G N O R A N T,IGNORANT{SPACE},2048,4,1,1,1826,1317
NetworksDemasking,38,1,S2,57,1,-0.379,-0.641,-0.813,-0.555,C115,10.004,9.313,1.494765,-0.684,3.5,9.6585,-0.51,1,S I C K,SICK{SPACE},2489,115,I L L,ILL{SPACE},871,1,1,1,2960,2356
NetworksDemasking,38,1,S2,142,3,-0.484,-0.125,-0.621,-0.331,C116,10.93,9.656,17.382611,-0.476,8.5,10.293,-0.3045,4,S E R I O U S,SERIOUS{SPACE},1442,116,I M P R E S S I O N,IMPRESSION{SPACE},1859,2,1,1,1783,1840
NetworksDemasking,38,1,S2,115,3,-0.436,-0.017,-0.307,-0.352,C117,8.297,9.941,10.5978,-0.3295,7,9.119,-0.2265,3,P U N,PUN{SPACE},3012,117,I N T E L L I G E N T,INTELLIGENT{SPACE},2275,2,1,1,4649,2169
NetworksDemasking,38,1,S2,118,Inf,-0.503,-0.104,-0.716,-0.356,C118,9.026,6.207,Inf,-0.536,8,7.6165,-0.3035,3,G R O S S,GROSS{SPACE},2466,118,I N T O X I C A T E D,INTOXICATED{SPACE},3464,3,1,1,1467,2126
NetworksDemasking,38,1,S2,99,1,-0.522,-0.291,-0.713,-0.869,C119,9.048,9.176,3.989946,-0.791,4,9.112,-0.4065,1,C A G E,CASE{SPACE},779,119,J A I L,JAIL{SPACE},811,1,0,1,1959,1751
NetworksDemasking,38,1,S2,108,2,-0.547,-0.772,-0.496,-0.963,C120,9.168,11.933,9.526173,-0.7295,5.5,10.5505,-0.6595,4,S H O P P I N G,SHOPPING{SPACE},2081,120,J O B,JOB{SPACE},1043,2,1,1,1635,1069
NetworksDemasking,38,1,S2,163,6,-0.649,-0.489,-0.603,-0.53,C121,6.843,8.748,26.549853,-0.5665,7.5,7.7955,-0.569,15,P U M P K I N,PUMPKIN{SPACE},2203,121,J U D G M E N T,JUDGEMENT{SPACE},3491,3,1,1,1760,1636
NetworksDemasking,38,1,S2,225,4,0.211,-0.5,0.25,-0.536,C122,5.565,6.73,12.269172,-0.143,5.5,6.1475,-0.1445,4,N A U S E O U S,NAUSEOUS{SPACE},7805,122,J U G,JUG{SPACE},1129,3,1,1,1931,1927
NetworksDemasking,38,1,S2,138,5,-0.666,-0.469,-0.836,-0.678,C123,9.787,10.121,22.315955,-0.757,3.5,9.954,-0.5675,4,R A I N,RAIN{SPACE},1080,123,K I T,KIT{SPACE},1284,3,1,1,1607,2669
NetworksDemasking,38,1,S2,171,Inf,-0.618,-0.085,-0.724,-0.012,C124,9.608,5.476,Inf,-0.368,4,7.542,-0.3515,1,T I E,THE{SPACE},1102,124,L A P E L,LAPEL{SPACE},1265,2,0,1,1765,1781
NetworksDemasking,38,1,S2,238,4,-0.474,-0.665,-0.207,-0.75,C125,8.813,8.714,19.94153,-0.4785,4.5,8.7635,-0.5695,3,D R O V E,DROVE{SPACE},2266,125,L E A P,LEAP{SPACE},1109,3,1,1,2095,1054
NetworksDemasking,38,1,S2,241,2,0.36,-0.507,-0.226,-0.429,C126,6.73,5.999,10.909893,-0.3275,7,6.3645,-0.0735,1,C I T R U S,CITRUC{SPACE},2846,126,L E M O N A D E,LEMONADE{SPACE},2892,2,1,1,2712,1963
NetworksDemasking,38,1,S2,139,4,-0.469,-0.742,-0.582,-0.56,C127,10.038,11.776,19.824958,-0.571,5.5,10.907,-0.6055,15,A G E N C Y,AGENCY{SPACE},2648,127,L E V E L,LEVEL{SPACE},1818,3,1,1,1063,1037
