ExperimentName,subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,pathlength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli1,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,RTRecogniseTarget
NetworksDemasking,2,1,S2,41,3,-0.162,-0.358,0.198,-0.492,C11,4.942,9.948,12.786301,-0.147,8.5,7.445,-0.26,3,B A L L E R I N A,ballerina{SPACE},2087,11,A U D I E N C E,audience{SPACE},1931,3,1,1,1139,2725
NetworksDemasking,2,1,S2,9,3,-0.515,-0.22,-0.676,-0.383,C12,10.161,8.024,12.783101,-0.5295,6.5,9.0925,-0.3675,2,M A P,map{SPACE},1012,12,A U T O M O B I L E,automobile{SPACE},4096,2,1,1,936,1733
NetworksDemasking,2,1,S2,89,5,-0.359,-0.57,-0.307,-0.47,C13,8.763,8.956,23.460178,-0.3885,7,8.8595,-0.4645,3,V A G U E,vague{SPACE},1890,13,A W A R E N E S S,awareness{SPACE},3996,3,1,1,933,1361
NetworksDemasking,2,1,S2,152,3,-0.736,-0.642,-0.614,-0.639,C14,11.62,11.942,10.892725,-0.6265,4,11.781,-0.689,2,W O M E N,women{SPACE},1132,14,B A D,bad{SPACE},1202,2,1,1,894,867
NetworksDemasking,2,1,S2,200,4,-0.399,-0.593,-0.31,-0.377,C15,5.481,7.835,15.510172,-0.3435,4,6.658,-0.496,4,T W I G,twig{SPACE},1074,15,B A K E,bake{SPACE},1050,3,1,1,851,876
NetworksDemasking,2,1,S2,145,3,-0.165,-0.316,-0.48,-0.067,C16,8.996,5.802,15.894155,-0.2735,7,7.399,-0.2405,1,S C R A T C H,scratch{SPACE},3853,16,B A N D A G E,bandage{SPACE},3334,2,1,1,947,535
NetworksDemasking,2,1,S2,117,4,-0.1,-0.631,-0.21,-0.499,C17,5.204,7.8,19.608969,-0.3545,4.5,6.502,-0.3655,2,S C O L D,scold{SPACE},1112,17,B A R K,bark{SPACE},854,2,1,1,1312,871
NetworksDemasking,2,1,S2,129,2,-0.472,-0.518,-0.067,-0.685,C18,9.887,10.221,10.027768,-0.376,7.5,10.054,-0.495,2,E L E C T R I C,electric{SPACE},2399,18,B A T T E R Y,battery{SPACE},4918,2,1,1,1130,971
NetworksDemasking,2,1,S2,100,4,-0.107,-0.426,0.272,-0.605,C19,7.023,8.062,19.401746,-0.1665,7,7.5425,-0.2665,15,L A B Y R I N T H,labyrinth{SPACE},3265,19,B E A R D,beard{SPACE},1610,3,1,1,1299,976
NetworksDemasking,2,1,S2,217,2,-0.295,-0.532,-0.714,-0.372,C20,9.222,10.353,11.85331,-0.543,7.5,9.7875,-0.4135,4,J U N I O R,junior{SPACE},1500,20,B E A U T I F U L,beautiful{SPACE},2655,2,1,1,944,523
